Application_Date,employer_name,employer_city,Processing_Office,employer_postal_code,total_workers,Decision_Date,soc_code,Visa_Status,wage_rate_of_pay_from,full_time_position,wage_unit_of_pay,prevailing_wage,pw_unit_of_pay,year,CAcase_submitted,Processing_Days,Processing_Months,Visa_Type
2014-07-22,HARMONY SCHOOL OF INNOVATIONGARLAND,GARLAND,Texas,75040,1,2016-10-02,25-2031,CERTIFIED-WITHDRAWN,43470.0,Y,Year,43470.0,Year,2017,2014-07-22,803,27,H1B
2014-07-22,HARMONY SCIENCE ACADEMYSAN ANTONIO,SAN ANTONIO,Texas,78245,2,2016-10-02,25-2031,CERTIFIED-WITHDRAWN,44510.0,Y,Year,44510.0,Year,2017,2014-07-22,803,27,H1B
2014-07-22,HARMONY SCHOOL OF INNOVATIONHOUSTON,HOUSTON,Texas,77099,1,2016-10-02,25-2031,CERTIFIED-WITHDRAWN,42330.0,Y,Year,42330.0,Year,2017,2014-07-22,803,27,H1B
2014-08-03,HARMONY SCHOOL OF SCIENCEHOUSTON HIGH,SUGARLAND,Texas,77478,1,2016-10-02,25-2031,CERTIFIED-WITHDRAWN,42330.0,Y,Year,42330.0,Year,2017,2014-08-03,791,26,H1B
2014-08-04,HARMONY SCHOOL OF INNOVATIONEL PASO,EL PASO,Texas,79924,1,2016-10-02,25-2031,CERTIFIED-WITHDRAWN,42340.0,Y,Year,42340.0,Year,2017,2014-08-04,790,26,H1B
2014-08-04,HARMONY SCIENCE ACADEMYDALLAS,DALLAS,Texas,75243,1,2016-10-02,25-2031,CERTIFIED-WITHDRAWN,43470.0,Y,Year,43470.0,Year,2017,2014-08-04,790,26,H1B
2014-08-04,HARMONY SCHOOL OF POLITICAL SCIENCE AND COMMUNICATION,AUSTIN,Texas,78717,1,2016-10-02,25-9031,CERTIFIED-WITHDRAWN,46571.0,Y,Year,46571.0,Year,2017,2014-08-04,790,26,H1B
2014-08-11,HARMONY SCIENCE ACADEMYDALLAS,DALLAS,Texas,75243,1,2016-10-02,25-2031,CERTIFIED-WITHDRAWN,45540.0,Y,Year,43470.0,Year,2017,2014-08-11,783,26,H1B
2014-08-11,HARMONY SCIENCE ACADEMYBROWNSVILLE,BROWNSVILLE,Texas,78520,1,2016-10-02,25-2031,CERTIFIED-WITHDRAWN,45600.0,Y,Year,41940.0,Year,2017,2014-08-11,783,26,H1B
2014-08-11,HARMONY SCHOOL OF BUSINESS,DALLAS,Texas,75252,1,2016-10-02,25-2031,CERTIFIED-WITHDRAWN,43470.0,Y,Year,43470.0,Year,2017,2014-08-11,783,26,H1B
2014-08-11,HARMONY SCHOOL OF NATURE AND ATHLETICS,DALLAS,Texas,75249,1,2016-10-02,25-2031,CERTIFIED-WITHDRAWN,45540.0,Y,Year,43470.0,Year,2017,2014-08-11,783,26,H1B
2014-08-12,OOYALA INC,MOUNTAIN VIEW,California,94040,1,2016-10-02,3021-11-01 00:00:00,CERTIFIED-WITHDRAWN,115000.0,Y,Year,99337.0,Year,2017,2014-08-12,782,26,H1B
2014-08-24,TECHTOMIX LLC,CONCORD,North Carolina,28205,1,2016-10-02,15-1121,CERTIFIED-WITHDRAWN,62866.0,Y,Year,60507.0,Year,2017,2014-08-24,770,26,H1B
2014-08-24,HARMONY SCHOOL OF EXCELLENCEAUSTIN,AUSTIN,Texas,78744,1,2016-10-02,25-2031,CERTIFIED-WITHDRAWN,41460.0,Y,Year,41460.0,Year,2017,2014-08-24,770,26,H1B
2014-09-23,MEDIATEK USA INC,SAN JOSE,California,95134,1,2016-10-02,15-1132,CERTIFIED-WITHDRAWN,87300.0,Y,Year,80962.0,Year,2017,2014-09-23,740,25,H1B
2014-11-02,UNIVERSITY OF PITTSBURGH,PITTSBURGH,Pennsylvania,15260,1,2016-10-02,19-1042,CERTIFIED-WITHDRAWN,45900.0,Y,Year,43597.0,Year,2017,2014-11-02,700,23,H1B
2014-11-12,CAREMARK LLC,WOONSOCKET,Rhode Island,2895,1,2016-10-02,15-1121,CERTIFIED-WITHDRAWN,97115.0,Y,Year,97115.0,Year,2017,2014-11-12,690,23,H1B
2014-11-24,HARVARD UNIVERSITY,CAMBRIDGE,Massachusetts,2138,1,2016-10-02,19-1029,CERTIFIED-WITHDRAWN,49884.0,Y,Year,42702.0,Year,2017,2014-11-24,678,23,H1B
2014-12-22,CLOUDCAR INC,MOUNTAIN VIEW,California,94040,1,2016-10-02,15-1132,CERTIFIED-WITHDRAWN,125000.0,Y,Year,109762.0,Year,2017,2014-12-22,650,22,H1B
2015-01-05,UNIVERSITY OF WISCONSINMADISON,MADISON,Wisconsin,53715,1,2016-10-02,21-1014,CERTIFIED-WITHDRAWN,57800.0,Y,Year,49816.0,Year,2017,2015-01-05,636,21,H1B
2015-01-06,VSOFT CONSULTING GROUP INC,LOUISVILLE,Kentucky,40223,1,2016-10-02,15-1121,CERTIFIED-WITHDRAWN,47000.0,Y,Year,46758.0,Year,2017,2015-01-06,635,21,H1B
2015-01-08,NYSE MARKET (DE) INC,ATLANTA,Georgia,30328,1,2016-10-02,15-1199,CERTIFIED-WITHDRAWN,97000.0,Y,Year,96866.0,Year,2017,2015-01-08,633,21,H1B
2015-01-12,NOMURA SECURITIES INTERNATIONAL INC,NEW YORK,New York,10019-7316,1,2016-10-02,13-2051,CERTIFIED-WITHDRAWN,130000.0,Y,Year,125133.0,Year,2017,2015-01-12,629,21,H1B
2015-01-28,ROCKWELL COLLINS INC,CEDAR RAPIDS,Iowa,52498,1,2016-10-02,15-1133,CERTIFIED-WITHDRAWN,100307.0,Y,Year,88837.0,Year,2017,2015-01-28,613,20,H1B
2015-02-03,PLOW AND HEARTH LLC,MADISON,Virginia,22727,1,2016-10-02,15-1199,CERTIFIED-WITHDRAWN,52500.0,Y,Year,34154.0,Year,2017,2015-02-03,607,20,H1B
2015-02-10,ERICSSON INC,PLANO,Texas,75024,1,2016-10-02,15-1132,CERTIFIED-WITHDRAWN,65791.0,Y,Year,62769.0,Year,2017,2015-02-10,600,20,H1B
2015-02-17,MEDIATEK USA INC,SAN JOSE,California,95134,1,2016-10-02,15-1132,CERTIFIED-WITHDRAWN,81000.0,Y,Year,80153.0,Year,2017,2015-02-17,593,20,H1B
2015-02-17,MEDIATEK USA INC,SAN JOSE,California,95134,1,2016-10-02,15-1132,CERTIFIED-WITHDRAWN,88254.0,Y,Year,88254.0,Year,2017,2015-02-17,593,20,H1B
2015-02-17,MEDIATEK USA INC,SAN JOSE,California,95134,1,2016-10-02,17-2071,CERTIFIED-WITHDRAWN,102606.0,Y,Year,102606.0,Year,2017,2015-02-17,593,20,H1B
2015-02-18,MEDIATEK USA INC,SAN JOSE,California,95134,1,2016-10-02,17-2071,CERTIFIED-WITHDRAWN,117000.0,Y,Year,116667.0,Year,2017,2015-02-18,592,20,H1B
2015-02-18,OOYALA INC,SANTA CLARA,California,95054,1,2016-10-02,15-1132,CERTIFIED-WITHDRAWN,115000.0,Y,Year,109762.0,Year,2017,2015-02-18,592,20,H1B
2015-02-19,MEDIATEK USA INC,SAN JOSE,California,95134,1,2016-10-02,2021-11-01 00:00:00,CERTIFIED-WITHDRAWN,114000.0,Y,Year,111439.0,Year,2017,2015-02-19,591,20,H1B
2015-02-22,MEDIATEK USA INC,SAN JOSE,California,95134,1,2016-10-02,17-2072,CERTIFIED-WITHDRAWN,87000.0,Y,Year,86507.0,Year,2017,2015-02-22,588,20,H1B
2015-02-22,HARVARD UNIVERSITY,CAMBRIDGE,Massachusetts,2138,1,2016-10-02,19-1029,CERTIFIED-WITHDRAWN,48192.0,Y,Year,42702.0,Year,2017,2015-02-22,588,20,H1B
2015-02-23,VSOFT CONSULTING GROUP INC,LOUISVILLE,Kentucky,40223,1,2016-10-02,15-1121,CERTIFIED-WITHDRAWN,47000.0,Y,Year,46758.0,Year,2017,2015-02-23,587,20,H1B
2015-03-01,AARCG INC,ORLANDO,Florida,32819,1,2016-10-02,15-1199,CERTIFIED-WITHDRAWN,96866.0,Y,Year,96866.0,Year,2017,2015-03-01,581,19,H1B
2015-03-09,TECHTOMIX LLC,CONCORD,North Carolina,28025,1,2016-10-02,15-1121,CERTIFIED-WITHDRAWN,63000.0,Y,Year,60507.0,Year,2017,2015-03-09,573,19,H1B
2015-03-09,TECHTOMIX LLC,CONCORD,North Carolina,28025,1,2016-10-02,15-1121,CERTIFIED-WITHDRAWN,62866.0,Y,Year,60507.0,Year,2017,2015-03-09,573,19,H1B
2015-03-09,TECHTOMIX LLC,CONCORD,North Carolina,28025,1,2016-10-02,15-1121,CERTIFIED-WITHDRAWN,63000.0,Y,Year,60507.0,Year,2017,2015-03-09,573,19,H1B
2015-03-09,TECHTOMIX LLC,CONCORD,North Carolina,28025,1,2016-10-02,15-1121,CERTIFIED-WITHDRAWN,63000.0,Y,Year,60507.0,Year,2017,2015-03-09,573,19,H1B
2015-03-09,TECHTOMIX LLC,CONCORD,North Carolina,28025,1,2016-10-02,15-1121,CERTIFIED-WITHDRAWN,63000.0,Y,Year,60507.0,Year,2017,2015-03-09,573,19,H1B
2015-03-15,TECHTOMIX LLC,CONCORD,North Carolina,28025,1,2016-10-02,15-1121,CERTIFIED-WITHDRAWN,63000.0,Y,Year,60507.0,Year,2017,2015-03-15,567,19,H1B
2015-03-15,TECHTOMIX LLC,CONCORD,North Carolina,28025,1,2016-10-02,15-1121,CERTIFIED-WITHDRAWN,63000.0,Y,Year,60507.0,Year,2017,2015-03-15,567,19,H1B
2015-03-17,TECHTOMIX LLC,CONCORD,North Carolina,28025,1,2016-10-02,15-1121,CERTIFIED-WITHDRAWN,63000.0,Y,Year,60507.0,Year,2017,2015-03-17,565,19,H1B
2015-03-18,MEDIATEK USA INC,SAN JOSE,California,95134,1,2016-10-02,27-3042,CERTIFIED-WITHDRAWN,85000.0,Y,Year,84594.0,Year,2017,2015-03-18,564,19,H1B
2015-03-22,WOLFSDORF ROSENTHAL LLP,SANTA MONICA,California,90401,1,2016-10-02,13-2099,CERTIFIED-WITHDRAWN,39894.0,Y,Year,39894.0,Year,2017,2015-03-22,560,19,H1B
2015-03-23,UNIVERSITY OF MARYLAND BALTIMORE,BALTIMORE,Maryland,21201,1,2016-10-02,19-4021,CERTIFIED-WITHDRAWN,51576.0,Y,Year,34778.0,Year,2017,2015-03-23,559,19,H1B
2015-03-24,MEDIATEK USA INC,SAN JOSE,California,95134,1,2016-10-02,17-2072,CERTIFIED-WITHDRAWN,120000.0,Y,Year,119746.0,Year,2017,2015-03-24,558,19,H1B
2015-04-05,FLUID INC,SAN FRANCISCO,California,94108-4459,1,2016-10-02,15-1199,CERTIFIED-WITHDRAWN,100000.0,Y,Year,96866.0,Year,2017,2015-04-05,546,18,H1B
2015-04-16,TEXAS AANDM ENGINEERING EXPERIMENT STATION,COLLEGE STATION,Texas,77843-3467,1,2016-10-02,17-3027,CERTIFIED-WITHDRAWN,55404.3599999999,Y,Year,36608.0,Year,2017,2015-04-16,535,18,H1B
2015-04-19,AVIDXCHANGE INC,CHARLOTTE,North Carolina,28204,1,2016-10-02,15-1199,CERTIFIED-WITHDRAWN,90000.0,Y,Year,77563.0,Year,2017,2015-04-19,532,18,H1B
2015-04-23,UNIVERSITY OF DELAWARE,NEWARK,Delaware,19716,1,2016-10-02,25-1066,CERTIFIED-WITHDRAWN,58146.0,Y,Year,58130.0,Year,2017,2015-04-23,528,18,H1B
2015-05-06,UNIVERSITY OF PITTSBURGH,PITTSBURGH,Pennsylvania,15260,1,2016-10-02,19-4021,CERTIFIED-WITHDRAWN,31668.0,Y,Year,28309.0,Year,2017,2015-05-06,515,17,H1B
2015-05-21,SKADDEN ARPS SLATE MEAGHER AND FLOM LLP,NEW YORK,New York,10036,1,2016-10-02,23-1011,CERTIFIED-WITHDRAWN,170000.0,Y,Year,124072.0,Year,2017,2015-05-21,500,17,H1B
2015-06-09,BANNER MEDICAL GROUP,PHOENIX,Arizona,85006,1,2016-10-02,29-1069,CERTIFIED-WITHDRAWN,200000.0,Y,Year,100235.0,Year,2017,2015-06-09,481,16,H1B
2015-07-13,SCIENTIFIC TECHNOLOGIES CORPORATION,SCOTTSDALE,Arizona,85258,1,2016-10-02,15-1132,CERTIFIED-WITHDRAWN,80000.0,Y,Year,74984.0,Year,2017,2015-07-13,447,15,H1B
2015-07-22,ADVANCED MICRO DEVICES INC,SUNNYVALE,California,94088,1,2016-10-02,17-2072,CERTIFIED-WITHDRAWN,118000.0,Y,Year,110597.0,Year,2017,2015-07-22,438,15,H1B
2015-07-27,UNIVERSITY OF CONNECTICUT,STORRS,Connecticut,6269,1,2016-10-02,19-2032,CERTIFIED-WITHDRAWN,44100.0,Y,Year,41912.0,Year,2017,2015-07-27,433,14,H1B
2015-07-27,UNIVERSITY OF TEXAS HEALTH SCIENCE CENTER AT SAN ANTONIO,SAN ANTONIO,Texas,78229,1,2016-10-02,19-1021,CERTIFIED-WITHDRAWN,42578.0,Y,Year,42578.0,Year,2017,2015-07-27,433,14,H1B
2015-08-23,THE NEW MEDIA CONSORTIUM,AUSTIN,Texas,78746,1,2016-10-02,25-9031,CERTIFIED-WITHDRAWN,68598.4,N,Hour,68598.4,Hour,2017,2015-08-23,406,14,H1B
2015-09-14,OCCUPATIONAL HEALTH CENTERS OF GEORGIA PC,ADDISON,Texas,75001,1,2016-10-02,29-1069,CERTIFIED-WITHDRAWN,170000.0,Y,Year,165422.0,Year,2017,2015-09-14,384,13,H1B
2015-09-15,DELL MARKETING LP,ROUND ROCK,Texas,78682,1,2016-10-02,13-1199,CERTIFIED-WITHDRAWN,103600.0,Y,Year,89064.0,Year,2017,2015-09-15,383,13,H1B
2015-09-16,LSU HEALTH SCIENCES CENTER/NEW ORLEANS,NEW ORLEANS,Louisiana,70112,1,2016-10-02,19-1042,CERTIFIED-WITHDRAWN,43000.0,Y,Year,41267.0,Year,2017,2015-09-16,382,13,H1B
2015-09-23,JB HUNT TRANSPORT SERVICES INC,LOWELL,Arkansas,72745,1,2016-10-02,15-1131,CERTIFIED-WITHDRAWN,61006.0,Y,Year,61006.0,Year,2017,2015-09-23,375,12,H1B
2015-10-15,LAWRENCE BERKELEY NATIONAL LABORATORY,BERKELEY,California,94720,1,2016-10-02,19-1021,CERTIFIED-WITHDRAWN,49476.0,Y,Year,49400.0,Year,2017,2015-10-15,353,12,H1B
2015-10-26,LENDINGCLUB CORPORATION,SAN FRANCISCO,California,94105,1,2016-10-02,27-1021,CERTIFIED-WITHDRAWN,140000.0,Y,Year,92123.0,Year,2017,2015-10-26,342,11,H1B
2015-11-03,ALPHADETAIL INC,SAN MATEO,California,94404,1,2016-10-02,2022-11-01 00:00:00,CERTIFIED-WITHDRAWN,90000.0,Y,Year,76253.0,Year,2017,2015-11-03,334,11,H1B
2015-11-17,OOYALA INC,SANTA CLARA,California,95054,1,2016-10-02,15-1132,CERTIFIED-WITHDRAWN,125000.0,Y,Year,120349.0,Year,2017,2015-11-17,320,11,H1B
2015-12-17,ARKSTEK INC,AURORA,Colorado,80014,1,2016-10-02,17-2199,CERTIFIED-WITHDRAWN,70494.0,Y,Year,57741.0,Year,2017,2015-12-17,290,10,H1B
2016-01-13,THE UNIVERSITY OF CHICAGO,CHICAGO,Illinois,60637,1,2016-10-02,19-1021,CERTIFIED-WITHDRAWN,45000.0,Y,Year,40810.0,Year,2017,2016-01-13,263,9,H1B
2016-01-21,THE UNIVERSITY OF CHICAGO,CHICAGO,Illinois,60637,1,2016-10-02,19-1042,CERTIFIED-WITHDRAWN,41267.0,Y,Year,41267.0,Year,2017,2016-01-21,255,8,H1B
2016-01-25,FRONTIER TECHNOLOGIES LLC,NAPERVILLE,Illinois,60563-1291,1,2016-10-02,15-1121,CERTIFIED-WITHDRAWN,61000.0,Y,Year,60133.0,Year,2017,2016-01-25,251,8,H1B
2016-02-10,DEUTSCHE BANK SECURITIES INC,NEW YORK,New York,10005,1,2016-10-02,13-2051,CERTIFIED-WITHDRAWN,175000.0,Y,Year,94640.0,Year,2017,2016-02-10,235,8,H1B
2016-02-11,DEUTSCHE BANK NEW YORK BRANCH,NEW YORK,New York,10005,1,2016-10-02,13-1071,CERTIFIED-WITHDRAWN,100000.0,Y,Year,73216.0,Year,2017,2016-02-11,234,8,H1B
2016-02-17,HOME DEPOT USA INC,ATLANTA,Georgia,30339,1,2016-10-02,15-1132,CERTIFIED-WITHDRAWN,100000.0,Y,Year,93371.0,Year,2017,2016-02-17,228,8,H1B
2016-02-24,CITADEL INFORMATION SERVICES INC,ISELIN,New Jersey,8830,1,2016-10-02,15-1131,CERTIFIED-WITHDRAWN,60600.0,Y,Year,51730.0,Year,2017,2016-02-24,221,7,H1B
2016-02-26,CITADEL INFORMATION SERVICES INC,ISELIN,New Jersey,8830,1,2016-10-02,15-1131,CERTIFIED-WITHDRAWN,60550.0,Y,Year,58053.0,Year,2017,2016-02-26,219,7,H1B
2016-02-27,CITADEL INFORMATION SERVICES INC,ISELIN,New Jersey,8830,1,2016-10-02,15-1131,CERTIFIED-WITHDRAWN,60300.0,Y,Year,58053.0,Year,2017,2016-02-27,218,7,H1B
2016-02-28,CITADEL INFORMATION SERVICES INC,ISELIN,New Jersey,8830,1,2016-10-02,15-1131,CERTIFIED-WITHDRAWN,60300.0,Y,Year,58053.0,Year,2017,2016-02-28,217,7,H1B
2016-02-29,BERENSON AND COMPANY LLC,NEW YORK,New York,10065,1,2016-10-02,13-2051,CERTIFIED-WITHDRAWN,70000.0,Y,Year,65187.0,Year,2017,2016-02-29,216,7,H1B
2016-02-29,BERENSON AND COMPANY LLC,NEW YORK,New York,10065,1,2016-10-02,13-2051,CERTIFIED-WITHDRAWN,80000.0,Y,Year,65187.0,Year,2017,2016-02-29,216,7,H1B
